id,company,post_title,post_date,post_text,Tipo,Assunto,Modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
11,invillia,,2021-01-27,"Como o futuro mudou o futuro? Assista a história da Raissa. Ela e dezenas de outros talentos formam a primeira geração de desenvolvedores que tiveram a experiência de estagiar, aprender (e agora evoluir) 100% online dentro da Invillia. Uma oportunidade 100% incrível que começou há pouco mais de 6 meses  [ programa insiders_° ]. E abriu espaço para que qualquer pessoa, em qualquer lugar do país, sonhe. Cresça. Construa um futuro de uma maneira 100% inovadora_  BestMinds, BestWhere 100% future_ by Raissa Cunha  Transforme sua carreira_ invillia.com/jobs  _inove com #GameChangers #startups #unicórnios _em uma cultura conectada #inStation _insights contínuos #InvilliaAcademy _benefícios únicos #InfinitePowers _evoluindo sempre #TalentGrowth  #Invillia #EngagedbyPeople #EngagedbyData #BestMindsBestWhere #FutureofWork #Vagas #Oportunidades #Tech #Jobs #Recrutamento #InfiniteDigitalPower #InvilliaAcademy #Estudantes #Universidades #Universitários #Tecnologia #Insiders'",Employer Branding,Carreiras,Post,91,5,2078,"#GameChangers, #startups, #unicórnios, #inStation, #InvilliaAcademy, #InfinitePowers, #TalentGrowth, #Invillia, #EngagedbyPeople, #EngagedbyData, #BestMindsBestWhere, #FutureofWork, #Vagas, #Oportunidades, #Tech, #Jobs, #Recrutamento, #InfiniteDigitalPower, #InvilliaAcademy, #Estudantes, #Universidades, #Universitários, #Tecnologia, #Insiders'",linkedin
12,invillia,,2021-02-03,"Por mais distantes, separadas as coisas pareçam. Por mais improváveis e diferentes. Sempre existe uma forma de juntar forças. Unir pensamentos. Fazer quem gosta mais de imagem falar com quem gosta mais de texto. INTEGRAR. Esse é o nosso desafio e de muitas outras empresas. Essa é a razão de termos criado uma plataforma tão inovadora como o Instation_ Fazer que tudo, todos, de qualquer lugar, independente do fuso horário ou da rede que pertençam (veja o outro lado desse post: https://lnkd.in/emShumd), se sintam mais perto_  https://lnkd.in/gx8hzTt everybody, everywhere, in_  #Invillia #Itbox #Instation #EngagedbyData #EngagedbyPeople #Award #MicrosoftTeams #DigitalWorkplace #FutureofWork #ConnectedOffice #AnywhereOffice #Remote #Hybrid #Phygital  Elected by Microsoft as the best solution in Latin America to collaborate remotely.'",Técnico,Plataformas,Post,55,0,0,"#Invillia, #Itbox, #Instation, #EngagedbyData, #EngagedbyPeople, #Award, #MicrosoftTeams, #DigitalWorkplace, #FutureofWork, #ConnectedOffice, #AnywhereOffice, #Remote, #Hybrid, #Phygital",linkedin
13,invillia,,2021-01-27,"Somos uma comunidade de mais de 800 talentos apaixonados por inovação e tecnologia. E existem agora 50 oportunidades para fazer parte dela :-) Confira as vagas em aberto e sinta na prática o que nos move, por que somos a escolha de game-changers globais, e como nos diferenciamos na forma de cuidar, conectar, evoluir e reconhecer_ Bem-vindos, onde quer que estejam_invillia.com/vagas _inove com #GameChangers #startups #unicórnios_em uma cultura conectada #inStation_com inteligência e dados #GlobalGrowthFramework_insights contínuos #InvilliaAcademy_benefícios únicos #InfinitePowers_evoluindo sempre #TalentGrowth #Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork'",Employer Branding,Vagas,Post,188,10,0,"#GameChangers, #startups, #unicórnios_em, #inStation_com, #GlobalGrowthFramework_insights, #InvilliaAcademy_benefícios, #InfinitePowers_evoluindo, #TalentGrowth, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
14,invillia,,2021-02-10,"A Invillia não apenas transformou a forma como as empresas mais revolucionárias do mundo criam produtos digitais. Inovou também a maneira como apaixonadas e apaixonados por tecnologia, de qualquer lugar do planeta, podem interagir, evoluir, mais conectados do que nunca. Se tem experiência em ambientes de alta criticidade e sonha crescer com talentos e game-changers globais, junte seu entusiasmo ao nosso_ invillia.com/vagas _inove com #GameChangers #startups #unicórnios_em uma cultura conectada #inStation_com inteligência e dados #GlobalGrowthFramework_insights contínuos #InvilliaAcademy_benefícios únicos #InfinitePowers_evoluindo sempre #TalentGrowth #Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork #Developer #Data #DataAdministrator'",Employer Branding,Vagas,Post,72,1,0,"#GameChangers, #startups, #unicórnios_em, #inStation_com, #GlobalGrowthFramework_insights, #InvilliaAcademy_benefícios, #InfinitePowers_evoluindo, #TalentGrowth, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork, #Developer, #Data, #DataAdministrator'",linkedin
15,invillia,,2021-02-10,"infinite.highs_ One more game-changer is feeling the power of combining top techs with a unique Global Growth Framework to innovate without limits. Data, People and Action together_  1 in 3 br-unicorns are invillia partners_ be the nxt_invillia.cominfinite digital power_ #Invillia #GlobalGrowthFramework #GameChangers #unicornios #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation #TechTalents #BusinessExpansion'",Branding,Marca,Post,136,4,3140,"#Invillia, #GlobalGrowthFramework, #GameChangers, #unicornios, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation, #TechTalents, #BusinessExpansion'",linkedin
16,invillia,,2021-01-18,"“How” is the x-factor. It’s what allows us to stand out in a crowded world. At Invillia we have our very own way of bringing new ideas, differentials, products to life. Of embracing the most demanding innovation missions. By combining first-class tech with a powerful and customized Global Growth Framework_ Engaged by Data, People and Action_ let’s go a lot further together_ invillia.com infinite digital power_  #Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation #Pagseguro #Mastercard #OLX #ifood #Gympass #ViaVarejo #Tembici #C6bank #Clearsale #Movile #Clip'",Branding,Digital,Post,51,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation, #Pagseguro, #Mastercard, #OLX, #ifood, #Gympass, #ViaVarejo, #Tembici, #C6bank, #Clearsale, #Movile, #Clip'",linkedin
17,invillia,,2021-02-10,"Como manter sua equipe engajada, feliz e evoluindo junta, quer esteja no mesmo prédio, em casa ou qualquer outro lugar? A história tem ensinado que é preciso muito mais que uma ferramenta de conference-call ou chat. Por isso inovamos com o Instation. Um espaço digital comum onde todos se encontram e interagem. Recriando a sensação de proximidade e permitindo que cada talento compartilhe durante o dia um ambiente mais humanizado, inspirador e produtivo_ O trabalho conectado potencializado por dados começa aqui:https://lnkd.in/gx8hzTt #Invillia #Itbox #Instation #EngagedbyData #EngagedbyPeople #Award #MicrosoftTeams #DigitalWorkplace #FutureofWork #ConnectedOffice #AnywhereOffice #Remote #Hybrid #Phygital'",Employer Branding,Trabalho remoto,Post,112,0,0,"#Invillia, #Itbox, #Instation, #EngagedbyData, #EngagedbyPeople, #Award, #MicrosoftTeams, #DigitalWorkplace, #FutureofWork, #ConnectedOffice, #AnywhereOffice, #Remote, #Hybrid, #Phygital'",linkedin
18,invillia,,2021-01-27,"Ousadia é uma das características que nos torna únicos. E o Jose Neto ainda leva isso a um outro nível :-) Num inspirador testemunho, compartilha sua escalada pela vida com a Invillia. Desde a oportunidade de inovar como nunca imaginou até à aprendizagem contínua e conquista dos desafios (ou montanhas) mais exigentes. Sinta a magia do que é se superar e conciliar tudo o que mais se ama_https://lnkd.in/eBsMf9T #Invillia #BestMindsBestWhere #InfiniteDigitalPower #EngagedbyPeople #EngagedbyAction #Developer #Innovation #Instation #TechTalents #FutureofWork #GlobalCommunity #GlobalGrowthFramework'",Employer Branding,Carreiras,Post,62,0,0,"#Invillia, #BestMindsBestWhere, #InfiniteDigitalPower, #EngagedbyPeople, #EngagedbyAction, #Developer, #Innovation, #Instation, #TechTalents, #FutureofWork, #GlobalCommunity, #GlobalGrowthFramework'",linkedin
19,invillia,,2021-02-03,"Nada mais poderosa que a voz da nossa comunidade - opinando sobre uma das iniciativas da Invillia, o Face-to-Face - para traduzir as 3 palavras que são a base da nossa maneira de inovar: compartilhar, agir e APRIMORAR_ É para o Fernando, o Guilherme, a Denise, a Letícia e outras centenas de talentos que não paramos de nos reinventar. Temos a missão de ser a empresa que antecipa tendências, que olha de perto o que cada um precisa, que quebra os paradigmas, para que todos expressem com transparência o que pensam, cresçam, equilibrem aprendizado, vida e trabalho. Foi assim que nasceu o Infinite Powers e dezenas de outras iniciativas que convidamos você a ouvir, ou melhor, ler um pouco mais_  https://lnkd.in/diFsKe9  _inove com #GameChangers #startups #unicórnios _em uma cultura conectada #inStation _insights contínuos #InvilliaAcademy _benefícios únicos #InfinitePowers _evoluindo sempre #TalentGrowth  #Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork'",Employer Branding,Carreiras,Post,57,0,738,"#GameChangers, #startups, #unicórnios, #inStation, #InvilliaAcademy, #InfinitePowers, #TalentGrowth, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
20,invillia,,2020-12-19,"Inovar, reinventar, adaptar, melhorar. Tudo isso exige mudanças. Mas liderá-las pode ser difícil, a menos que se tenha as ferramentas necessárias. Os “padrões da mudança sem medo” são uma das técnicas para fazer acontecer. E foram o mote de um workshop em que participamos e que resumimos algumas inspirações pra você_ thank you Joe Yoder & Marylynn Manns _ infinite knowledge power_fearlesschangepatterns.cominvillia.com #Invillia #GlobalGrowthFramework #InfiniteDigitalPower #EngagedbyData #EngagedbyPeople #EngagedbyAction #GameChangers #Innovation #FearlessChange #joy'",Négocio,Workshop,Post,59,1,0,"#Invillia, #GlobalGrowthFramework, #InfiniteDigitalPower, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GameChangers, #Innovation, #FearlessChange, #joy'",linkedin
21,invillia,,2020-12-19,"Nosso programa exclusivo de benefícios não para de evoluir_ e surpreender. Já imaginou o PODER de passar uma temporada na Europa? De ter uma criptomoeda que se valoriza com o seu empenho e conquistas? Apenas duas das próximas novidades_ Que se juntam a muitas outras vantagens únicas com a missão de melhorar o equilíbrio entre vida, família e trabalho, privilegiar nosso modelo sem distâncias e incentivar o crescimento individual e profissional.Bem-vindos_https://lnkd.in/eAHXxH9infinite digital power #Invillia #Innovation #InfinitePowers #EngagedbyData #EngagedbyPeople #EngagedbyAction #GlobalGrowthFramework #GameChangers #Recrutamento #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #ti #TechTalents #FutureofWork'",Employer Branding,Benefícios,Post,78,0,0,"#Invillia, #Innovation, #InfinitePowers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GlobalGrowthFramework, #GameChangers, #Recrutamento, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #ti, #TechTalents, #FutureofWork'",linkedin
22,invillia,,2020-12-19,"Nos últimos meses conquistamos e fomos conquistados por 7 novos clientes. Com missões ousadas de inovação e crescimento contínuo. E, a partir de agora, engaged by data, people and action_ Bem-vindos_invillia.cominfinite digital power#Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation'",Crescimento,Clientes,Post,67,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation'",linkedin
23,invillia,,2021-01-27,"Eles estão lá. Colaborando para que menos carros circulem, produtos de luxo sejam impossíveis de falsificar, burocracias diminuam, criptomoedas continuem a inovar o mercado. Códigos transformados em segurança, transparência e facilidades_ As possibilidades da blockchain, assim como suas frações descentralizadas e distribuídas pela nuvem, são infinitas_ Imagine_  O que pode ser imaginado, pode ser criado_ invillia.com infinite digital power_ #Invillia #Innovation #EngagedbyData #EngagedbyPeople #EngagedbyAction #GlobalGrowthFramework #GameChangers #Blockchain #Technology #Future'",Técnico,Blockchain,Post,56,0,1109,"#Invillia, #Innovation, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GlobalGrowthFramework, #GameChangers, #Blockchain, #Technology, #Future'",linkedin
24,invillia,,2021-01-27,"This is our life_ Innovation. And it all starts from within. Because to be endorsed by the most demanding companies in the world, we have to go far beyond what is expected, the status quo. The result of what we deliver is all about the bold way we think and do it. With our Global Growth Framework, coupled with cutting-edge technologies. Empowered by Data, People and Action (in simple words: never slow down)_  Let’s create what’s next together_ invillia.com infinite digital power_  #Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation'",Branding,Marca,Post,61,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation'",linkedin
25,invillia,,2021-01-18,"Adaptation, modularity - dois termos que mais parecem ter saído de um título da Netflix - são na verdade, conceitos que hoje todo inovador busca: capacidade de se reinventar (adaptar) e de se redesenhar (modular) rapidamente. O que a terceira geração do nosso Global Growth Framework potencializará ainda mais. Ao disponibilizar para cada game-changer, além de tecnologia de ponta, tudo o que diferencia a Invillia: dados, inspirações, metodologias, performance_ ACTION_   global growth framework, season 3_ Soon_    invillia.com infinite digital power_  #Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation'",Branding,Marca,Post,57,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation'",linkedin
26,invillia,,2020-12-19,#TechFriendlyReminderNova vaga em Invillia Careers :-)Siga a página para não perder conteúdos e oportunidades únicas de crescer com talentos e game-changers globais _ #Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork',Employer Branding,Vagas,Post,24,0,0,"#TechFriendlyReminderNova, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
27,invillia,,2021-01-18,"Quando estamos conectados podemos chegar a resultados incríveis. >—<  https://lnkd.in/gx8hzTtO Instation vem ajudando a Invillia e inúmeras outras empresas a reinventar o balanço entre distância, produtividade e felicidade. Agregando à liberdade de trabalhar em qualquer lugar um diferencial competitivo: dados_ Insights, que levam a inspirações, que levam a mudanças, que levam a mais proximidade e caminhos que ninguém imaginou_https://lnkd.in/gx8hzTt#Invillia #Itbox #Instation #EngagedbyData #EngagedbyPeople #Award #MicrosoftTeams #DigitalWorkplace #FutureofWork #ConnectedOffice #AnywhereOffice #Remote #Hybrid #PhygitalElected by Microsoft as the best solution in Latin America to collaborate remotely.'",Employer Branding,Trabalho remoto,Post,65,0,884,"#Invillia, #Itbox, #Instation, #EngagedbyData, #EngagedbyPeople, #Award, #MicrosoftTeams, #DigitalWorkplace, #FutureofWork, #ConnectedOffice, #AnywhereOffice, #Remote, #Hybrid, #PhygitalElected",linkedin
28,invillia,,2020-11-19,"#TechFriendlyReminderAinda não entrou em nossa Invillia Careers? Hoje é o dia :) É lá que vamos centralizar todas as nossas vagas e conteúdos sobre cultura, carreira, trabalho conectado. Tudo o que inspire você a voar mais alto_Já segue? Compartilhe com seus contatos para não perderem oportunidades únicas de crescer lado a lado com talentos globais. Onde quer que estejam_#Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork'",Employer Branding,Vagas,Post,93,1,0,"#TechFriendlyReminderAinda, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
29,invillia,,2021-01-18,"Assista a um tour rápido por um sonho: recriar a sensação de proximidade em qualquer modelo de trabalho_ Começou em março. Desafiou limites geográficos. Engajou pessoas do mundo todo. Conectou dados a novos insights. E já dando spoiler do final do vídeo: vem muito mais por aí_  https://lnkd.in/gx8hzTt connected work, inspired by data#Invillia #itbox #InStation #EngagedbyData #EngagedbyPeople #Award #MicrosoftTeams #DigitalWorkplace #FutureofWork #ConnectedOffice #AnywhereOffice #Remote #Hybrid #Phygital #2021 Elected by Microsoft as the best solution in Latin America to collaborate remotely in 2020.'",Employer Branding,Trabalho remoto,Post,69,1,1704,"#Invillia, #itbox, #InStation, #EngagedbyData, #EngagedbyPeople, #Award, #MicrosoftTeams, #DigitalWorkplace, #FutureofWork, #ConnectedOffice, #AnywhereOffice, #Remote, #Hybrid, #Phygital, #2021",linkedin
30,invillia,,2020-11-19,"#TechFriendlyReminderMais uma semana, mais uma vaga [entre dezenas em nosso site], mais uma oportunidade de seguir a Invillia Careers :-) Todos os conteúdos relacionados com carreira e posições em aberto estão centralizados lá. Já segue? Compartilhe com seus contatos para não perderem oportunidades únicas de crescer com talentos e game-changers globais. Onde quer que estejam_ #Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork'",Employer Branding,Vagas,Post,36,0,0,"#TechFriendlyReminderMais, #Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
31,invillia,,2021-01-18,"Flight Levels is a concept that aims to identify organizational improvement opportunities from different levels or flight “altitudes”. The higher you fly, you have more of an overview with fewer details. The lower you fly, you can see more details but no longer the entire landscape. What’s the best starting point? Which level is better to achieve each goal? What’s the effect of specific steps at different ones? That’s what Flight Levels help to reveal and Saulo Esteves explains in this article_https://lnkd.in/e3AWaTY #Invillia #FutureOfWork #GlobalGrowthFramework #EngagedbyData #EngagedbyPeople #EngagedbyAction #FlightLevels'",Técnico,Artigo,Post,47,0,0,"#Invillia, #FutureOfWork, #GlobalGrowthFramework, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #FlightLevels'",linkedin
32,invillia,,2020-12-19,"Enquanto o dicionário Collins escolheu “lockdown” como a palavra de 2020. Nós resolvemos “celebrar” o oposto. Comemorar a vida, os momentos bons, a liberdade de estar em qualquer lugar, o futuro. Para jamais esquecermos o nosso poder de superar. Transformar o imponderável em mais inovações_ Essa é nossa festa_innovation is limitless as long as we continue to dream it_Ano que vem tem mais. Junte-se a nós:invillia.com/jobsAos quase 800 talentos que nos conectam e inspiram diariamente_ obrigado_#CelebrationWeek #YouAreThePower #Invillia #Innovation #ThatNeverStops #EngagedbyData #EngagedbyPeople #EngagedbyAction #GlobalGrowthFramework #ForGameChangers'",Employer Branding,Vagas,Post,148,9,3346,"#CelebrationWeek, #YouAreThePower, #Invillia, #Innovation, #ThatNeverStops, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GlobalGrowthFramework, #ForGameChangers'",linkedin
33,invillia,,2020-12-19,"Pedimos pra Jonatas Falcao, Agile Leader na Invillia, contar em 2 minutos como é trabalhar em nosso modelo flexível e distribuído, mas sempre próximo. O resultado é um inspirador testemunho que responde à sua pergunta final: Quer coisa melhor do que isso? ;)Confira na prática o que significa ter tempo para todas as suas paixões_https://lnkd.in/dGRstEX#Invillia #BestMindsBestWhere #InfiniteDigitalPower #EngagedbyPeople #EngagedbyAction #Developer #Innovation #Instation #TechTalents #FutureofWork #GlobalCommunity #GlobalGrowthFramework'",Employer Branding,Metodologia,Post,94,1,1494,"#Invillia, #BestMindsBestWhere, #InfiniteDigitalPower, #EngagedbyPeople, #EngagedbyAction, #Developer, #Innovation, #Instation, #TechTalents, #FutureofWork, #GlobalCommunity, #GlobalGrowthFramework'",linkedin
34,invillia,,2021-01-18,"Se o trabalho em equipe é o motor que cria a inovação, cada pessoa é o combustível. Um poder que incentivamos criando práticas, experiências, inspirações para que se aprimore dia a dia, talento a talento_ Quando entusiasmo, tecnologia e oportunidades se conectam, ninguém para essa máquina_Viva tudo isso na prática_invillia.com/vagas_inove com #GameChangers #startups #unicórnios_em uma cultura conectada #inStation_com inteligência e dados #GlobalGrowthFramework_insights contínuos #InvilliaAcademy_benefícios únicos #InfinitePowers_evoluindo sempre #TalentGrowth#Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork #MobileDeveloper #Android'",Employer Branding,Vagas,Post,67,0,0,"#GameChangers, #startups, #unicórnios_em, #inStation_com, #GlobalGrowthFramework_insights, #InvilliaAcademy_benefícios, #InfinitePowers_evoluindo, #TalentGrowth#Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork, #MobileDeveloper, #Android'",linkedin
35,invillia,,2020-12-19,"De estagiária_ cheia de sonhos, a líder de um time_ cheia de conquistas. É essa a inspiradora evolução de Flávia. Que continua aprendendo, crescendo, numa jornada em que é ela que detém o poder_ BestMinds, BestWhereYou Are the Power_by Flávia FinêncioQuer ser a melhor versão de si próprio? invillia.com/jobsAlguns diferenciais Invillia:_inovamos com #GameChangers #startups #unicórnios_cultura de trabalho-conectado #inStation_forma exclusiva de performar #GlobalGrowthFramework_reskill contínuo #InvilliaAcademy_benefícios únicos #InfinitePowers_novo plano de evolução #TalentGrowth#Invillia #EngagedbyPeople #EngagedbyData #BestMindsBestWhere #FutureofWork #Vagas #Oportunidades #Tech #Jobs #Recrutamento #InfiniteDigitalPower #InvilliaAcademy'",Employer Branding,Carreiras,Post,137,8,2578,"#GameChangers, #startups, #unicórnios_cultura, #inStation_forma, #GlobalGrowthFramework_reskill, #InvilliaAcademy_benefícios, #InfinitePowers_novo, #TalentGrowth#Invillia, #EngagedbyPeople, #EngagedbyData, #BestMindsBestWhere, #FutureofWork, #Vagas, #Oportunidades, #Tech, #Jobs, #Recrutamento, #InfiniteDigitalPower, #InvilliaAcademy'",linkedin
36,invillia,,2021-01-18,"Que erros podem ser fatais numa cultura de trabalho conectado? Sergio Caliani, Chief People Officer na Invillia, destaca três:  1. Continuar com práticas diferentes para quem está presente de forma física ou digital, isto não cria senso de pertencimento. 2. Falta de tecnologia que traga a mesma liberdade de criação e inovação, antes típica das salas fechadas. 3. Não ter acesso a métricas para a melhoria contínua de pessoas, times e processos. Que permitam cuidar um do outro com mais precisão, descobrir tendências, desvios e padrões. E agir sobre eles na hora certa.  O trabalho conectado inspirado por dados começa aqui_ https://lnkd.in/gx8hzTt  #Invillia #Instation #EngagedbyData #EngagedbyPeople #Award #MicrosoftTeams #DigitalWorkplace #FutureofWork #ConnectedOffice #AnywhereOffice #Remote #Hybrid #Phygital Elected by Microsoft as the best solution in Latin America to collaborate remotely in 2020.'",Técnico,Cultura,Post,77,0,0,"#Invillia, #Instation, #EngagedbyData, #EngagedbyPeople, #Award, #MicrosoftTeams, #DigitalWorkplace, #FutureofWork, #ConnectedOffice, #AnywhereOffice, #Remote, #Hybrid, #Phygital",linkedin
37,invillia,,2021-01-18,"É aqui que a Invillia se diferencia. Tudo começa na criação e constante aprimoramento de ferramentas, práticas e metodologias únicas. Que potencializam a inovação intrínseca em cada um de nós. Na forma de pensarmos, de agirmos, de entregarmos mais e mais valor. Numa cultura inquieta que nos apaixona e permite a game-changers que atendemos não pararem de revolucionar seus segmentos. Data for People_ People for Action_ Action for Innovation_Vamos transformar juntos tecnologia de ponta em produtos digitais incríveis?https://lnkd.in/diFsKe9#Invillia #EngagedbyData #EngagedbyPeople #BestMindsBestWhere #Vagas #Oportunidades #Carreiras #GlobalCommunity #InfiniteDigitalPower #Recrutamento #ti #TechTalents #FutureofWork'",Branding,Marca,Post,78,0,0,"#Invillia, #EngagedbyData, #EngagedbyPeople, #BestMindsBestWhere, #Vagas, #Oportunidades, #Carreiras, #GlobalCommunity, #InfiniteDigitalPower, #Recrutamento, #ti, #TechTalents, #FutureofWork'",linkedin
38,invillia,,2021-01-18,"Este é um momento perfeito para falarmos do “1”. Que acaba de abrir uma nova década. E acrescentar novas perspectivas a muitas mudanças que o mundo precisa. Um “1” que nos lembra que quanto mais a gente cresce, mais tecnologias dominamos, mais talentos conectamos, mais únicos devemos nos comprometer a ser. Mais unidos devemos estar. Um a Um_ Game-changer a game-changer_ 1nvillia_invillia.cominfinite digital power#Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation #1'",,,,109,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation, #1'",linkedin
39,invillia,,2020-10-20,"Também adoramos todas as possibilidades que a inteligência artificial criou e ainda vai proporcionar. Mas gostamos ainda mais do outro algoritmo - totalmente humano - que o trouxe até aqui: a curiosidade (Qual?). Curiosidade por coisas novas, inovação, desafios_ Sim. (Você) é a única resposta correta_ Junte suas ideias, sua originalidade à nossa: https://lnkd.in/diFsKe9  #Invillia #InnovationThatNeverStops #EngagedbyData #EngagedbyPeople #EngagedbyAction #GlobalGrowthFramework #ForGameChangers'",,,,30,1,971,"#Invillia, #InnovationThatNeverStops, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GlobalGrowthFramework, #ForGameChangers'",linkedin
40,invillia,,2021-01-18,"""This year, we all made possible what seemed impossible thanks to our collective overcoming power. It's time to take stock of 2020 and look ahead to 2021.Thank you all for making part of our world. Cheers to more shared achievements and limitless innovations in the new year_This is our wrap-up, by Renato Bolzan_https://lnkd.in/dGVyptd#Invillia #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation""",,,,78,0,0,"#Invillia, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation""",linkedin
44,invillia,,2021-01-18,"Companies are accelerating digital innovation and leveraging emerging technologies to come out even stronger in 2021. What about yours? At Invillia we have been supporting countless top performers to transform best-of-breed techs into customized game-changing digital products. With the power of data, people and action_Let yourself be inspired and get prepared for the next unknown_https://lnkd.in/dXaEPZu#Invillia #Innovation #GlobalGrowthFramework #GameChangers #EngagedbyData #EngagedbyPeople #EngagedbyAction #Innovation'",,,,42,0,0,"#Invillia, #Innovation, #GlobalGrowthFramework, #GameChangers, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #Innovation'",linkedin
